*******************************************************************************
USER DATA                   {Unspecified by user}           Wed Oct-12 05:00:43
Local ID: -825544              (TLE ID = 25544)
 
Geocentric SGP4/SDP4 Two-Line Elements (TLEs):
 
1 25544U 98067A   22285.33911226  .00016681  00000+0  29995-3 0  9994
2 25544  51.6417 116.1789 0003225 293.3546 125.3296 15.49968613363353
*******************************************************************************


*******************************************************************************
Ephemeris / WWW_USER Wed Oct 12 05:00:43 2022 Pasadena, USA      / Horizons
*******************************************************************************
Target body name: {Unspecified by user} (-825544) {source: USER-INPUT TLE}
Center body name: Earth (399)                     {source: DE441}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 2022-Oct-05 00:00:00.0000 TDB
Stop  time      : A.D. 2022-Oct-06 00:00:00.0000 TDB
Step-size       : 1 minutes
*******************************************************************************
Center geodetic : 0.00000000,0.00000000,0.0000000 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.00000000,0.00000000,0.0000000 {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : 6378.1 x 6378.1 x 6356.8 km     {Equator, meridian, pole}    
Keplerian GM    : 3.9860043550702260E+05 km^3/s^2
Output units    : KM-S, deg, Julian Day Number (Tp)
Output type     : GEOMETRIC osculating elements
Output format   : 10
EOP file        : eop.221010.p230103
EOP coverage    : DATA-BASED 1962-JAN-20 TO 2022-OCT-10. PREDICTS-> 2023-JAN-02
Reference frame : ICRF
*******************************************************************************
            JDTDB,            Calendar Date (TDB),                     EC,                     QR,                     IN,                     OM,                      W,                     Tp,                      N,                     MA,                     TA,                      A,                     AD,                     PR,
**************************************************************************************************************************************************************************************************************************************************************************************************************************************************
$$SOE
2459857.500000000, A.D. 2022-Oct-05 00:00:00.0000,  5.343495025799159E-04,  6.789414805273852E+03,  5.169109600762562E+01,  1.521474423423429E+02,  5.181600320265535E+01,  2.459857487934598E+06,  6.460926665346738E-02,  6.735197944680243E+01,  6.740850418903601E+01,  6.793044665311766E+03,  6.796674525349680E+03,  5.571956139525071E+03,
2459857.500694444, A.D. 2022-Oct-05 00:01:00.0000,  6.095876480563094E-04,  6.789617941542929E+03,  5.169348928648252E+01,  1.521423993928084E+02,  5.994553931384531E+01,  2.459857489389333E+06,  6.459907208539276E-02,  6.309789224449311E+01,  6.316020782096622E+01,  6.793759333316387E+03,  6.797900725089845E+03,  5.572835466183171E+03,
2459857.501388889, A.D. 2022-Oct-05 00:02:00.0000,  6.838162283447146E-04,  6.789872581051050E+03,  5.169603075640164E+01,  1.521377818633954E+02,  6.763036105350170E+01,  2.459857490764447E+06,  6.458824165157917E-02,  5.928888779736010E+01,  5.935628709584642E+01,  6.794518783258834E+03,  6.799164985466618E+03,  5.573769943173520E+03,
2459857.502083333, A.D. 2022-Oct-05 00:03:00.0000,  7.559927985127754E-04,  6.790171899183782E+03,  5.169867395705413E+01,  1.521336113247353E+02,  7.494509949451007E+01,  2.459857492073324E+06,  6.457697418659224E-02,  5.585035393725087E+01,  5.592208505113248E+01,  6.795309103930022E+03,  6.800446308676262E+03,  5.574742460986115E+03,
2459857.502777778, A.D. 2022-Oct-05 00:04:00.0000,  8.249841150400998E-04,  6.790509126301262E+03,  5.170137057326301E+01,  1.521299011485501E+02,  8.194227825901886E+01,  2.459857493325383E+06,  6.456547644056421E-02,  5.272977884228606E+01,  5.280505664678387E+01,  6.796115813891694E+03,  6.801722501482127E+03,  5.575735204732800E+03,
2459857.503472222, A.D. 2022-Oct-05 00:05:00.0000,  8.895938884792763E-04,  6.790877624682164E+03,  5.170407132226206E+01,  1.521266562652123E+02,  8.866110294169991E+01,  2.459857494527659E+06,  6.455395926933312E-02,  4.988796140108113E+01,  4.996597952227736E+01,  6.796924126845864E+03,  6.802970629009564E+03,  5.576729980232535E+03,
2459857.504166667, A.D. 2022-Oct-05 00:06:00.0000,  9.485949857911675E-04,  6.791270940713958E+03,  5.170672685823373E+01,  1.521238730765736E+02,  9.513209198134693E+01,  2.459857495685627E+06,  6.454263375538015E-02,  4.729438026327774E+01,  4.737432323088433E+01,  6.797719223083791E+03,  6.804167505453624E+03,  5.577708547878883E+03,
2459857.504861111, A.D. 2022-Oct-05 00:07:00.0000,  1.000763312933136E-03,  6.791682846127344E+03,  5.170928867744966E+01,  1.521215395255322E+02,  1.013796179407913E+02,  2.459857496803657E+06,  6.453170733150149E-02,  4.492465261759911E+01,  4.500570799027145E+01,  6.798486522022055E+03,  6.805290197916766E+03,  5.578652958160060E+03,
